keys,en,ko
TITLE_DEBUG_HARNESS,Debug Harness,디버그 하네스
TITLE_SETTINGS,Settings,설정
TITLE_SETTINGS_SOUND_EFFECTS,Sound Effects,효과음
TITLE_SETTINGS_MUSIC,Music,음악
TITLE_SETTINGS_CLOSE,Close,닫기
CONNECT_HEADING,Connect,대전 연결
CONNECT_CREATE_ROOM,Create Room,방 만들기
CONNECT_ADDRESS,Address,주소
CONNECT_JOIN,Join,참가
CONNECT_START_MATCH,Start Match,매치 시작
CONNECT_STATUS_ROOM_FAILED,Could not create the room.,방을 만들지 못했습니다.
CONNECT_STATUS_WAITING,Waiting for an opponent...,상대를 기다리는 중...
CONNECT_STATUS_START_FAILED,Could not start connecting.,접속을 시작하지 못했습니다.
CONNECT_STATUS_CONNECTING,Connecting to {0}...,{0} 에 접속하는 중...
CONNECT_STATUS_CONNECTED,Connected to your opponent.,상대와 연결되었습니다.
CONNECT_STATUS_FAILED,Could not connect.,접속에 실패했습니다.
CONNECT_STATUS_DROPPED,The connection dropped.,연결이 끊겼습니다.
MATCH_WINS_NEEDED,First to {0},{0}선승
MATCH_MY_SCORE,Me {0} / {1},나 {0} / {1}
MATCH_OPPONENT_SCORE,Opponent {0} / {1},상대 {0} / {1}
MATCH_MY_HEALTH,Me {0} / {1},나 {0} / {1}
MATCH_OPPONENT_HEALTH,Opponent {0} / {1},상대 {0} / {1}
MATCH_ROUND,Round {0},{0} 라운드
MATCH_DECK_COUNT,Deck {0},덱 {0}
MATCH_CONFIRM,Confirm,확인
MATCH_OUTCOME_NONE,No result,승패 없음
MATCH_OUTCOME_WIN,Win,승
MATCH_OUTCOME_LOSS,Loss,패
MATCH_OUTCOME_TIE,Tie,무승부
MATCH_ACTION_TRANSFORMED,Transformed,변화 적용
MATCH_ACTION_SWAPPED,Swapped {0},교체 {0}장
MATCH_PROMPT_REJECTED,You cannot play that card.,낼 수 없는 카드입니다.
MATCH_PROMPT_CHOICE_SENT,Choice sent...,선택을 보냈습니다...
MATCH_PROMPT_OPPONENT_CHOOSING,Your opponent is choosing...,상대가 선택하는 중입니다...
MATCH_PROMPT_SWAP,Swap — click the cards to put back in your deck ({0}/{1} selected),교체 — 덱에 넣을 카드를 클릭하세요 ({0}/{1}장 선택됨)
MATCH_PROMPT_TRANSFORM_SOURCE,Transform — click a card in your hand to change,변화 — 바꿀 카드를 패에서 클릭하세요
MATCH_PROMPT_TRANSFORM_TARGET,Transform — change {0} into what?,변화 — {0}을(를) 무엇으로 바꿀까요?
MATCH_END_WIN,You win the match,매치 승리
MATCH_END_LOSS,You lose the match,매치 패배
MATCH_END_OPPONENT_LEFT,Your opponent left.,상대가 나갔습니다.
MATCH_END_WAITING_REMATCH,Waiting for the host to start a rematch...,호스트가 재대결을 시작하길 기다리는 중...
MATCH_END_REMATCH,Rematch,재대결
MATCH_END_TITLE_SCREEN,Title Screen,타이틀로
MATCH_LOG_TITLE,Match Log,경기 로그
MATCH_LOG_HINT,Tab: log,Tab: 로그
MATCH_LOG_EMPTY,No rounds played yet.,아직 진행된 라운드가 없습니다.
MATCH_LOG_ROUND_LINE,"R{0}  {1} vs {2}  —  {3}","{0}R  {1} vs {2}  —  {3}"
MATCH_LOG_MY_WIN,I win (-{0} to opponent),내가 이김 (상대 -{0})
MATCH_LOG_OPPONENT_WIN,Opponent wins (-{0} to me),상대가 이김 (나 -{0})
MATCH_LOG_DRAW,Draw,무승부
MATCH_LOG_NO_CONTEST,No contest,승패 없음
MATCH_LOG_HEALTH_LINE,"      health  me {0} / opponent {1}","      체력  나 {0} / 상대 {1}"
MATCH_LOG_MATCH_WON,=== Match won ===,=== 매치 승리 ===
MATCH_LOG_MATCH_LOST,=== Match lost ===,=== 매치 패배 ===
MATCH_SUBMIT_TIMEOUT,Next round in {0}s,다음 라운드까지 {0}초
